,movie_id,title
0,2858,American Beauty (1999)
1,260,Star Wars: Episode IV - A New Hope (1977)
2,1196,Star Wars: Episode V - The Empire Strikes Back (1980)
3,2028,Saving Private Ryan (1998)
4,1198,Raiders of the Lost Ark (1981)
5,593,"Silence of the Lambs, The (1991)"
6,2571,"Matrix, The (1999)"
7,2762,"Sixth Sense, The (1999)"
8,1210,Star Wars: Episode VI - Return of the Jedi (1983)
9,608,Fargo (1996)
10,527,Schindler's List (1993)
11,318,"Shawshank Redemption, The (1994)"
12,589,Terminator 2: Judgment Day (1991)
13,858,"Godfather, The (1972)"
14,110,Braveheart (1995)
15,1197,"Princess Bride, The (1987)"
16,1270,Back to the Future (1985)
17,2396,Shakespeare in Love (1998)
18,1617,L.A. Confidential (1997)
19,296,Pulp Fiction (1994)
20,2997,Being John Malkovich (1999)
21,480,Jurassic Park (1993)
22,1240,"Terminator, The (1984)"
23,356,Forrest Gump (1994)
24,1265,Groundhog Day (1993)
25,1,Toy Story (1995)
26,1580,Men in Black (1997)
27,1097,E.T. the Extra-Terrestrial (1982)
28,1214,Alien (1979)
29,457,"Fugitive, The (1993)"
30,50,"Usual Suspects, The (1995)"
31,2716,Ghostbusters (1984)
32,1193,One Flew Over the Cuckoo's Nest (1975)
33,3578,Gladiator (2000)
34,541,Blade Runner (1982)
35,1221,"Godfather: Part II, The (1974)"
36,912,Casablanca (1942)
37,1200,Aliens (1986)
38,1259,Stand by Me (1986)
39,919,"Wizard of Oz, The (1939)"
40,1213,GoodFellas (1990)
41,1136,Monty Python and the Holy Grail (1974)
42,1036,Die Hard (1988)
43,3114,Toy Story 2 (1999)
44,1610,"Hunt for Red October, The (1990)"
45,1291,Indiana Jones and the Last Crusade (1989)
46,2791,Airplane! (1980)
47,924,2001: A Space Odyssey (1968)
48,1387,Jaws (1975)
49,1704,Good Will Hunting (1997)
50,2916,Total Recall (1990)
51,34,Babe (1995)
52,1307,When Harry Met Sally... (1989)
53,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
54,2355,"Bug's Life, A (1998)"
55,1304,Butch Cassidy and the Sundance Kid (1969)
56,908,North by Northwest (1959)
57,2000,Lethal Weapon (1987)
58,2918,Ferris Bueller's Day Off (1986)
59,1225,Amadeus (1984)
60,3175,Galaxy Quest (1999)
61,2628,Star Wars: Episode I - The Phantom Menace (1999)
62,2599,Election (1999)
63,2987,Who Framed Roger Rabbit? (1988)
64,2804,"Christmas Story, A (1983)"
65,2959,Fight Club (1999)
66,32,Twelve Monkeys (1995)
67,1968,"Breakfast Club, The (1985)"
68,1394,Raising Arizona (1987)
69,3471,Close Encounters of the Third Kind (1977)
70,1230,Annie Hall (1977)
71,2797,Big (1988)
72,1784,As Good As It Gets (1997)
73,1247,"Graduate, The (1967)"
74,3793,X-Men (2000)
75,1961,Rain Man (1988)
76,1127,"Abyss, The (1989)"
77,1219,Psycho (1960)
78,223,Clerks (1994)
79,590,Dances with Wolves (1990)
80,1252,Chinatown (1974)
81,1374,Star Trek: The Wrath of Khan (1982)
82,3481,High Fidelity (2000)
83,111,Taxi Driver (1976)
84,1089,Reservoir Dogs (1992)
85,150,Apollo 13 (1995)
86,1278,Young Frankenstein (1974)
87,1079,"Fish Called Wanda, A (1988)"
88,1222,Full Metal Jacket (1987)
89,2324,Life Is Beautiful (La Vita ̬ bella) (1997)
90,3147,"Green Mile, The (1999)"
91,1358,Sling Blade (1996)
92,1923,There's Something About Mary (1998)
93,780,Independence Day (ID4) (1996)
94,904,Rear Window (1954)
95,1208,Apocalypse Now (1979)
96,3751,Chicken Run (2000)
97,923,Citizen Kane (1941)
98,377,Speed (1994)
99,3408,Erin Brockovich (2000)
